Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-896.397891,,24.956952,25.000000,-0.430484,-0.430484,-4.304842,IDM,Mainline
0.100000,-893.904273,,24.915395,25.000000,-0.415566,-0.415566,0.149178,IDM,Mainline
0.200000,-891.414740,,24.875279,25.000000,-0.401164,-0.401164,0.144026,IDM,Mainline
0.300000,-888.929148,,24.836553,25.000000,-0.387259,-0.387259,0.139049,IDM,Mainline
0.400000,-886.447362,,24.799169,25.000000,-0.373835,-0.373835,0.134242,IDM,Mainline
0.500000,-883.969249,,24.763082,25.000000,-0.360875,-0.360875,0.129601,IDM,Mainline
0.600000,-881.494683,,24.728245,25.000000,-0.348363,-0.348363,0.125120,IDM,Mainline
0.700000,-879.023540,,24.694617,25.000000,-0.336283,-0.336283,0.120795,IDM,Mainline
0.800000,-876.555701,,24.662155,25.000000,-0.324621,-0.324621,0.116621,IDM,Mainline
0.900000,-874.091053,,24.630819,25.000000,-0.313362,-0.313362,0.112593,IDM,Mainline
1.000000,-871.629483,,24.600570,25.000000,-0.302491,-0.302491,0.108706,IDM,Mainline
1.100000,-869.170886,,24.571370,25.000000,-0.291996,-0.291996,0.104956,IDM,Mainline
1.200000,-866.715159,,24.543184,25.000000,-0.281862,-0.281862,0.101338,IDM,Mainline
1.300000,-864.262201,,24.515976,25.000000,-0.272077,-0.272077,0.097847,IDM,Mainline
1.400000,-861.811916,,24.489713,25.000000,-0.262629,-0.262629,0.094479,IDM,Mainline
1.500000,-859.364212,,24.464363,25.000000,-0.253506,-0.253506,0.091230,IDM,Mainline
1.600000,-856.919000,,24.439893,25.000000,-0.244697,-0.244697,0.088096,IDM,Mainline
1.700000,-854.476191,,24.416274,25.000000,-0.236190,-0.236190,0.085072,IDM,Mainline
1.800000,-852.035704,,24.393477,25.000000,-0.227974,-0.227974,0.082154,IDM,Mainline
1.900000,-849.597456,,24.371473,25.000000,-0.220040,-0.220040,0.079340,IDM,Mainline
2.000000,-847.161371,,24.350235,25.000000,-0.212378,-0.212378,0.076624,IDM,Mainline
2.100000,-844.727372,,24.329737,25.000000,-0.204977,-0.204977,0.074004,IDM,Mainline
2.200000,-842.295388,,24.309954,25.000000,-0.197830,-0.197830,0.071475,IDM,Mainline
2.300000,-839.865347,,24.290861,25.000000,-0.190926,-0.190926,0.069036,IDM,Mainline
2.400000,-837.437182,,24.272436,25.000000,-0.184258,-0.184258,0.066681,IDM,Mainline
2.500000,-835.010828,,24.254654,25.000000,-0.177817,-0.177817,0.064409,IDM,Mainline
