Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-1536.194079,,24.961428,25.000000,-0.385717,-0.385717,-3.857167,IDM,Mainline
0.100000,-1533.699710,,24.925955,25.000000,-0.354732,-0.354732,0.309846,IDM,Mainline
0.200000,-1531.208747,,24.893316,25.000000,-0.326395,-0.326395,0.283375,IDM,Mainline
0.300000,-1528.720917,,24.863270,25.000000,-0.300456,-0.300456,0.259386,IDM,Mainline
0.400000,-1526.235974,,24.835601,25.000000,-0.276695,-0.276695,0.237613,IDM,Mainline
0.500000,-1523.753688,,24.810109,25.000000,-0.254912,-0.254912,0.217825,IDM,Mainline
0.600000,-1521.273852,,24.786616,25.000000,-0.234931,-0.234931,0.199817,IDM,Mainline
0.700000,-1518.796273,,24.764957,25.000000,-0.216590,-0.216590,0.183409,IDM,Mainline
0.800000,-1516.320776,,24.744983,25.000000,-0.199745,-0.199745,0.168444,IDM,Mainline
0.900000,-1513.847199,,24.726556,25.000000,-0.184267,-0.184267,0.154780,IDM,Mainline
1.000000,-1511.375394,,24.709552,25.000000,-0.170038,-0.170038,0.142293,IDM,Mainline
1.100000,-1508.905224,,24.693857,25.000000,-0.156951,-0.156951,0.130872,IDM,Mainline
1.200000,-1506.436562,,24.679366,25.000000,-0.144909,-0.144909,0.120417,IDM,Mainline
1.300000,-1503.969295,,24.665984,25.000000,-0.133825,-0.133825,0.110839,IDM,Mainline
1.400000,-1501.503315,,24.653622,25.000000,-0.123619,-0.123619,0.102059,IDM,Mainline
1.500000,-1499.038523,,24.642200,25.000000,-0.114219,-0.114219,0.094005,IDM,Mainline
1.600000,-1496.574831,,24.631644,25.000000,-0.105558,-0.105558,0.086613,IDM,Mainline
1.700000,-1494.112155,,24.621887,25.000000,-0.097575,-0.097575,0.079824,IDM,Mainline
1.800000,-1491.650417,,24.612865,25.000000,-0.090216,-0.090216,0.073587,IDM,Mainline
1.900000,-1489.189548,,24.604522,25.000000,-0.083431,-0.083431,0.067853,IDM,Mainline
2.000000,-1486.729481,,24.596805,25.000000,-0.077173,-0.077173,0.062580,IDM,Mainline
2.100000,-1484.270158,,24.589665,25.000000,-0.071400,-0.071400,0.057729,IDM,Mainline
2.200000,-1481.811522,,24.583057,25.000000,-0.066074,-0.066074,0.053264,IDM,Mainline
2.300000,-1479.353522,,24.576941,25.000000,-0.061158,-0.061158,0.049154,IDM,Mainline
2.400000,-1476.896111,,24.571279,25.000000,-0.056622,-0.056622,0.045368,IDM,Mainline
2.500000,-1474.439245,,24.566036,25.000000,-0.052434,-0.052434,0.041880,IDM,Mainline
2.600000,-1471.982884,,24.561179,25.000000,-0.048567,-0.048567,0.038665,IDM,Mainline
2.700000,-1469.526991,,24.556680,25.000000,-0.044997,-0.044997,0.035702,IDM,Mainline
2.800000,-1467.071532,,24.552510,25.000000,-0.041700,-0.041700,0.032971,IDM,Mainline
2.900000,-1464.616474,,24.548644,25.000000,-0.038655,-0.038655,0.030451,IDM,Mainline
3.000000,-1462.161789,,24.545060,25.000000,-0.035842,-0.035842,0.028127,IDM,Mainline
3.100000,-1459.707449,,24.541736,25.000000,-0.033244,-0.033244,0.025983,IDM,Mainline
3.200000,-1457.253430,,24.538651,25.000000,-0.030843,-0.030843,0.024005,IDM,Mainline
3.300000,-1454.799708,,24.535789,25.000000,-0.028625,-0.028625,0.022179,IDM,Mainline
3.400000,-1452.346262,,24.533131,25.000000,-0.026576,-0.026576,0.020493,IDM,Mainline
3.500000,-1449.893072,,24.530663,25.000000,-0.024682,-0.024682,0.018937,IDM,Mainline
3.600000,-1447.440121,,24.528370,25.000000,-0.022932,-0.022932,0.017500,IDM,Mainline
3.700000,-1444.987390,,24.526238,25.000000,-0.021315,-0.021315,0.016173,IDM,Mainline
3.800000,-1442.534866,,24.524256,25.000000,-0.019820,-0.019820,0.014948,IDM,Mainline
3.900000,-1440.082532,,24.522412,25.000000,-0.018438,-0.018438,0.013816,IDM,Mainline
4.000000,-1437.630377,,24.520696,25.000000,-0.017161,-0.017161,0.012770,IDM,Mainline
4.100000,-1435.178387,,24.519098,25.000000,-0.015981,-0.015981,0.011804,IDM,Mainline
4.200000,-1432.726552,,24.517609,25.000000,-0.014890,-0.014890,0.010912,IDM,Mainline
4.300000,-1430.274860,,24.516221,25.000000,-0.013881,-0.013881,0.010087,IDM,Mainline
4.400000,-1427.823303,,24.514926,25.000000,-0.012949,-0.012949,0.009325,IDM,Mainline
4.500000,-1425.371871,,24.513718,25.000000,-0.012087,-0.012087,0.008620,IDM,Mainline
4.600000,-1422.920555,,24.512589,25.000000,-0.011290,-0.011290,0.007969,IDM,Mainline
4.700000,-1420.469349,,24.511533,25.000000,-0.010553,-0.010553,0.007368,IDM,Mainline
4.800000,-1418.018245,,24.510546,25.000000,-0.009872,-0.009872,0.006811,IDM,Mainline
4.900000,-1415.567237,,24.509622,25.000000,-0.009242,-0.009242,0.006297,IDM,Mainline
5.000000,-1413.116318,,24.508756,25.000000,-0.008660,-0.008660,0.005822,IDM,Mainline
5.100000,-1410.665483,,24.507944,25.000000,-0.008121,-0.008121,0.005383,IDM,Mainline
5.200000,-1408.214727,,24.507181,25.000000,-0.007624,-0.007624,0.004976,IDM,Mainline
5.300000,-1405.764044,,24.506465,25.000000,-0.007164,-0.007164,0.004601,IDM,Mainline
5.400000,-1403.313431,,24.505791,25.000000,-0.006738,-0.006738,0.004254,IDM,Mainline
5.500000,-1400.862884,,24.505157,25.000000,-0.006345,-0.006345,0.003933,IDM,Mainline
5.600000,-1398.412398,,24.504559,25.000000,-0.005982,-0.005982,0.003636,IDM,Mainline
5.700000,-1395.961971,,24.503994,25.000000,-0.005645,-0.005645,0.003361,IDM,Mainline
5.800000,-1393.511598,,24.503461,25.000000,-0.005335,-0.005335,0.003108,IDM,Mainline
5.900000,-1391.061277,,24.502956,25.000000,-0.005047,-0.005047,0.002873,IDM,Mainline
6.000000,-1388.611005,,24.502478,25.000000,-0.004782,-0.004782,0.002656,IDM,Mainline
6.100000,-1386.160780,,24.502024,25.000000,-0.004536,-0.004536,0.002455,IDM,Mainline
6.200000,-1383.710599,,24.501593,25.000000,-0.004309,-0.004309,0.002270,IDM,Mainline
6.300000,-1381.260461,,24.501183,25.000000,-0.004100,-0.004100,0.002098,IDM,Mainline
6.400000,-1378.810362,,24.500793,25.000000,-0.003906,-0.003906,0.001939,IDM,Mainline
6.500000,-1376.360301,,24.500420,25.000000,-0.003726,-0.003726,0.001793,IDM,Mainline
6.600000,-1373.910277,,24.500064,25.000000,-0.003561,-0.003561,0.001657,IDM,Mainline
6.700000,-1371.460288,,24.499723,25.000000,-0.003407,-0.003407,0.001531,IDM,Mainline
6.800000,-1369.010332,,24.499397,25.000000,-0.003266,-0.003266,0.001415,IDM,Mainline
6.900000,-1366.560408,,24.499083,25.000000,-0.003135,-0.003135,0.001308,IDM,Mainline
7.000000,-1364.110515,,24.498782,25.000000,-0.003014,-0.003014,0.001209,IDM,Mainline
7.100000,-1361.660651,,24.498491,25.000000,-0.002903,-0.002903,0.001117,IDM,Mainline
7.200000,-1359.210816,,24.498211,25.000000,-0.002799,-0.002799,0.001032,IDM,Mainline
7.300000,-1356.761008,,24.497941,25.000000,-0.002704,-0.002704,0.000954,IDM,Mainline
7.400000,-1354.311227,,24.497679,25.000000,-0.002616,-0.002616,0.000881,IDM,Mainline
7.500000,-1351.861472,,24.497426,25.000000,-0.002534,-0.002534,0.000814,IDM,Mainline
7.600000,-1349.411742,,24.497180,25.000000,-0.002459,-0.002459,0.000752,IDM,Mainline
7.700000,-1346.962035,,24.496941,25.000000,-0.002390,-0.002390,0.000695,IDM,Mainline
7.800000,-1344.512353,,24.496709,25.000000,-0.002326,-0.002326,0.000642,IDM,Mainline
7.900000,-1342.062693,,24.496482,25.000000,-0.002266,-0.002266,0.000593,IDM,Mainline
8.000000,-1339.613056,,24.496261,25.000000,-0.002212,-0.002212,0.000547,IDM,Mainline
8.100000,-1337.163441,,24.496045,25.000000,-0.002161,-0.002161,0.000505,IDM,Mainline
8.200000,-1334.713847,,24.495833,25.000000,-0.002114,-0.002114,0.000466,IDM,Mainline
8.300000,-1332.264274,,24.495626,25.000000,-0.002071,-0.002071,0.000431,IDM,Mainline
8.400000,-1329.814722,,24.495423,25.000000,-0.002032,-0.002032,0.000397,IDM,Mainline
