Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-654.402965,,24.963663,25.000000,-0.363367,-0.363367,-3.633670,IDM,Mainline
0.100000,-651.908272,,24.930203,25.000000,-0.334607,-0.334607,0.287605,IDM,Mainline
0.200000,-649.416793,,24.899381,25.000000,-0.308214,-0.308214,0.263924,IDM,Mainline
0.300000,-646.928275,,24.870983,25.000000,-0.283981,-0.283981,0.242328,IDM,Mainline
0.400000,-644.442485,,24.844811,25.000000,-0.261720,-0.261720,0.222613,IDM,Mainline
0.500000,-641.959210,,24.820685,25.000000,-0.241260,-0.241260,0.204597,IDM,Mainline
0.600000,-639.478254,,24.798440,25.000000,-0.222448,-0.222448,0.188119,IDM,Mainline
0.700000,-636.999436,,24.777926,25.000000,-0.205145,-0.205145,0.173036,IDM,Mainline
0.800000,-634.522589,,24.759003,25.000000,-0.189223,-0.189223,0.159219,IDM,Mainline
0.900000,-632.047562,,24.741547,25.000000,-0.174568,-0.174568,0.146554,IDM,Mainline
1.000000,-629.574212,,24.725439,25.000000,-0.161074,-0.161074,0.134937,IDM,Mainline
1.100000,-627.102412,,24.710575,25.000000,-0.148646,-0.148646,0.124274,IDM,Mainline
1.200000,-624.632040,,24.696855,25.000000,-0.137198,-0.137198,0.114483,IDM,Mainline
1.300000,-622.162988,,24.684190,25.000000,-0.126649,-0.126649,0.105488,IDM,Mainline
1.400000,-619.695153,,24.672497,25.000000,-0.116927,-0.116927,0.097219,IDM,Mainline
1.500000,-617.228444,,24.661701,25.000000,-0.107966,-0.107966,0.089616,IDM,Mainline
1.600000,-614.762772,,24.651730,25.000000,-0.099704,-0.099704,0.082622,IDM,Mainline
1.700000,-612.298059,,24.642522,25.000000,-0.092085,-0.092085,0.076186,IDM,Mainline
1.800000,-609.834233,,24.634016,25.000000,-0.085059,-0.085059,0.070261,IDM,Mainline
1.900000,-607.371224,,24.626158,25.000000,-0.078578,-0.078578,0.064805,IDM,Mainline
2.000000,-604.908971,,24.618898,25.000000,-0.072600,-0.072600,0.059780,IDM,Mainline
2.100000,-602.447417,,24.612189,25.000000,-0.067085,-0.067085,0.055151,IDM,Mainline
2.200000,-599.986508,,24.605990,25.000000,-0.061997,-0.061997,0.050885,IDM,Mainline
2.300000,-597.526195,,24.600260,25.000000,-0.057301,-0.057301,0.046953,IDM,Mainline
2.400000,-595.066434,,24.594963,25.000000,-0.052969,-0.052969,0.043329,IDM,Mainline
2.500000,-592.607183,,24.590066,25.000000,-0.048970,-0.048970,0.039987,IDM,Mainline
2.600000,-590.148403,,24.585538,25.000000,-0.045279,-0.045279,0.036905,IDM,Mainline
2.700000,-587.690058,,24.581350,25.000000,-0.041873,-0.041873,0.034063,IDM,Mainline
2.800000,-585.232117,,24.577478,25.000000,-0.038729,-0.038729,0.031441,IDM,Mainline
2.900000,-582.774548,,24.573895,25.000000,-0.035827,-0.035827,0.029022,IDM,Mainline
3.000000,-580.317324,,24.570580,25.000000,-0.033148,-0.033148,0.026791,IDM,Mainline
3.100000,-577.860420,,24.567513,25.000000,-0.030675,-0.030675,0.024732,IDM,Mainline
3.200000,-575.403811,,24.564674,25.000000,-0.028391,-0.028391,0.022831,IDM,Mainline
3.300000,-572.947475,,24.562045,25.000000,-0.026284,-0.026284,0.021078,IDM,Mainline
3.400000,-570.491392,,24.559611,25.000000,-0.024338,-0.024338,0.019459,IDM,Mainline
3.500000,-568.035543,,24.557357,25.000000,-0.022541,-0.022541,0.017966,IDM,Mainline
3.600000,-565.579912,,24.555269,25.000000,-0.020882,-0.020882,0.016587,IDM,Mainline
3.700000,-563.124482,,24.553334,25.000000,-0.019351,-0.019351,0.015314,IDM,Mainline
3.800000,-560.669238,,24.551540,25.000000,-0.017937,-0.017937,0.014139,IDM,Mainline
3.900000,-558.214167,,24.549877,25.000000,-0.016632,-0.016632,0.013054,IDM,Mainline
4.000000,-555.759257,,24.548334,25.000000,-0.015426,-0.015426,0.012053,IDM,Mainline
4.100000,-553.304495,,24.546903,25.000000,-0.014314,-0.014314,0.011129,IDM,Mainline
4.200000,-550.849871,,24.545574,25.000000,-0.013286,-0.013286,0.010275,IDM,Mainline
4.300000,-548.395375,,24.544341,25.000000,-0.012337,-0.012337,0.009487,IDM,Mainline
4.400000,-545.940998,,24.543195,25.000000,-0.011461,-0.011461,0.008759,IDM,Mainline
4.500000,-543.486732,,24.542129,25.000000,-0.010653,-0.010653,0.008088,IDM,Mainline
4.600000,-541.032569,,24.541139,25.000000,-0.009906,-0.009906,0.007467,IDM,Mainline
4.700000,-538.578501,,24.540217,25.000000,-0.009216,-0.009216,0.006895,IDM,Mainline
4.800000,-536.124522,,24.539359,25.000000,-0.008580,-0.008580,0.006366,IDM,Mainline
4.900000,-533.670626,,24.538560,25.000000,-0.007992,-0.007992,0.005878,IDM,Mainline
5.000000,-531.216808,,24.537815,25.000000,-0.007449,-0.007449,0.005427,IDM,Mainline
5.100000,-528.763061,,24.537120,25.000000,-0.006948,-0.006948,0.005011,IDM,Mainline
5.200000,-526.309381,,24.536472,25.000000,-0.006486,-0.006486,0.004626,IDM,Mainline
5.300000,-523.855764,,24.535866,25.000000,-0.006058,-0.006058,0.004272,IDM,Mainline
5.400000,-521.402206,,24.535299,25.000000,-0.005664,-0.005664,0.003944,IDM,Mainline
5.500000,-518.948703,,24.534769,25.000000,-0.005300,-0.005300,0.003641,IDM,Mainline
5.600000,-516.495250,,24.534273,25.000000,-0.004964,-0.004964,0.003362,IDM,Mainline
5.700000,-514.041846,,24.533808,25.000000,-0.004653,-0.004653,0.003104,IDM,Mainline
5.800000,-511.588488,,24.533371,25.000000,-0.004367,-0.004367,0.002866,IDM,Mainline
5.900000,-509.135171,,24.532961,25.000000,-0.004102,-0.004102,0.002646,IDM,Mainline
6.000000,-506.681894,,24.532575,25.000000,-0.003858,-0.003858,0.002443,IDM,Mainline
6.100000,-504.228655,,24.532212,25.000000,-0.003632,-0.003632,0.002256,IDM,Mainline
6.200000,-501.775451,,24.531869,25.000000,-0.003424,-0.003424,0.002083,IDM,Mainline
6.300000,-499.322280,,24.531546,25.000000,-0.003231,-0.003231,0.001923,IDM,Mainline
6.400000,-496.869141,,24.531241,25.000000,-0.003054,-0.003054,0.001776,IDM,Mainline
6.500000,-494.416031,,24.530952,25.000000,-0.002890,-0.002890,0.001640,IDM,Mainline
6.600000,-491.962949,,24.530678,25.000000,-0.002738,-0.002738,0.001514,IDM,Mainline
6.700000,-489.509895,,24.530418,25.000000,-0.002599,-0.002599,0.001398,IDM,Mainline
6.800000,-487.056865,,24.530171,25.000000,-0.002469,-0.002469,0.001291,IDM,Mainline
6.900000,-484.603860,,24.529936,25.000000,-0.002350,-0.002350,0.001192,IDM,Mainline
7.000000,-482.150877,,24.529712,25.000000,-0.002240,-0.002240,0.001101,IDM,Mainline
7.100000,-479.697917,,24.529498,25.000000,-0.002139,-0.002139,0.001017,IDM,Mainline
7.200000,-477.244977,,24.529294,25.000000,-0.002045,-0.002045,0.000939,IDM,Mainline
7.300000,-474.792058,,24.529098,25.000000,-0.001958,-0.001958,0.000867,IDM,Mainline
7.400000,-472.339157,,24.528910,25.000000,-0.001878,-0.001878,0.000801,IDM,Mainline
7.500000,-469.886275,,24.528730,25.000000,-0.001804,-0.001804,0.000740,IDM,Mainline
7.600000,-467.433411,,24.528556,25.000000,-0.001736,-0.001736,0.000683,IDM,Mainline
7.700000,-464.980564,,24.528389,25.000000,-0.001672,-0.001672,0.000631,IDM,Mainline
7.800000,-462.527733,,24.528228,25.000000,-0.001614,-0.001614,0.000583,IDM,Mainline
7.900000,-460.074918,,24.528072,25.000000,-0.001560,-0.001560,0.000539,IDM,Mainline
8.000000,-457.622118,,24.527921,25.000000,-0.001511,-0.001511,0.000498,IDM,Mainline
8.100000,-455.169333,,24.527774,25.000000,-0.001465,-0.001465,0.000460,IDM,Mainline
8.200000,-452.716563,,24.527632,25.000000,-0.001422,-0.001422,0.000425,IDM,Mainline
8.300000,-450.263807,,24.527494,25.000000,-0.001383,-0.001383,0.000393,IDM,Mainline
8.400000,-447.811064,,24.527359,25.000000,-0.001346,-0.001346,0.000363,IDM,Mainline
8.500000,-445.358335,,24.527228,25.000000,-0.001313,-0.001313,0.000335,IDM,Mainline
8.600000,-442.905618,,24.527100,25.000000,-0.001282,-0.001282,0.000310,IDM,Mainline
8.700000,-440.452915,,24.526974,25.000000,-0.001253,-0.001253,0.000287,IDM,Mainline
8.800000,-438.000223,,24.526852,25.000000,-0.001227,-0.001227,0.000265,IDM,Mainline
8.900000,-435.547544,,24.526731,25.000000,-0.001202,-0.001202,0.000245,IDM,Mainline
9.000000,-433.094877,,24.526613,25.000000,-0.001180,-0.001180,0.000227,IDM,Mainline
9.100000,-430.642222,,24.526498,25.000000,-0.001159,-0.001159,0.000210,IDM,Mainline
9.200000,-428.189577,,24.526384,25.000000,-0.001139,-0.001139,0.000194,IDM,Mainline
9.300000,-425.736945,,24.526272,25.000000,-0.001121,-0.001121,0.000180,IDM,Mainline
9.400000,-423.284323,,24.526161,25.000000,-0.001104,-0.001104,0.000167,IDM,Mainline
9.500000,-420.831712,,24.526052,25.000000,-0.001089,-0.001089,0.000154,IDM,Mainline
9.600000,-418.379113,,24.525945,25.000000,-0.001075,-0.001075,0.000143,IDM,Mainline
9.700000,-415.926523,,24.525839,25.000000,-0.001061,-0.001061,0.000132,IDM,Mainline
9.800000,-413.473945,,24.525734,25.000000,-0.001049,-0.001049,0.000123,IDM,Mainline
9.900000,-411.021377,,24.525630,25.000000,-0.001038,-0.001038,0.000114,IDM,Mainline
10.000000,-408.568819,,24.525527,25.000000,-0.001027,-0.001027,0.000106,IDM,Mainline
10.100000,-406.116271,,24.525425,25.000000,-0.001017,-0.001017,0.000098,IDM,Mainline
10.200000,-403.663734,,24.525325,25.000000,-0.001008,-0.001008,0.000091,IDM,Mainline
10.300000,-401.211206,,24.525225,25.000000,-0.001000,-0.001000,0.000085,IDM,Mainline
10.400000,-398.758689,,24.525125,25.000000,-0.000992,-0.000992,0.000079,IDM,Mainline
10.500000,-396.306181,,24.525027,25.000000,-0.000985,-0.000985,0.000073,IDM,Mainline
10.600000,-393.853683,,24.524929,25.000000,-0.000978,-0.000978,0.000068,IDM,Mainline
10.700000,-391.401195,,24.524832,25.000000,-0.000972,-0.000972,0.000063,IDM,Mainline
10.800000,-388.948717,,24.524735,25.000000,-0.000966,-0.000966,0.000059,IDM,Mainline
10.900000,-386.496248,,24.524639,25.000000,-0.000960,-0.000960,0.000055,IDM,Mainline
11.000000,-384.043789,,24.524544,25.000000,-0.000955,-0.000955,0.000051,IDM,Mainline
11.100000,-381.591339,,24.524449,25.000000,-0.000950,-0.000950,0.000048,IDM,Mainline
11.200000,-379.138899,,24.524354,25.000000,-0.000946,-0.000946,0.000045,IDM,Mainline
11.300000,-376.686468,,24.524260,25.000000,-0.000941,-0.000941,0.000042,IDM,Mainline
11.400000,-374.234047,,24.524166,25.000000,-0.000938,-0.000938,0.000039,IDM,Mainline
11.500000,-371.781635,,24.524073,25.000000,-0.000934,-0.000934,0.000037,IDM,Mainline
11.600000,-369.329232,,24.523980,25.000000,-0.000930,-0.000930,0.000035,IDM,Mainline
11.700000,-366.876839,,24.523887,25.000000,-0.000927,-0.000927,0.000033,IDM,Mainline
11.800000,-364.424455,,24.523795,25.000000,-0.000924,-0.000924,0.000031,IDM,Mainline
11.900000,-361.972080,,24.523703,25.000000,-0.000921,-0.000921,0.000029,IDM,Mainline
12.000000,-359.519714,,24.523611,25.000000,-0.000918,-0.000918,0.000027,IDM,Mainline
12.100000,-357.067358,,24.523519,25.000000,-0.000916,-0.000916,0.000026,IDM,Mainline
12.200000,-354.615010,,24.523428,25.000000,-0.000913,-0.000913,0.000024,IDM,Mainline
12.300000,-352.162672,,24.523337,25.000000,-0.000911,-0.000911,0.000023,IDM,Mainline
12.400000,-349.710343,,24.523246,25.000000,-0.000909,-0.000909,0.000022,IDM,Mainline
12.500000,-347.258023,,24.523155,25.000000,-0.000907,-0.000907,0.000021,IDM,Mainline
12.600000,-344.805712,,24.523065,25.000000,-0.000905,-0.000905,0.000020,IDM,Mainline
12.700000,-342.353410,,24.522974,25.000000,-0.000903,-0.000903,0.000019,IDM,Mainline
12.800000,-339.901117,,24.522884,25.000000,-0.000901,-0.000901,0.000018,IDM,Mainline
12.900000,-337.448833,,24.522794,25.000000,-0.000900,-0.000900,0.000017,IDM,Mainline
13.000000,-334.996558,,24.522705,25.000000,-0.000898,-0.000898,0.000016,IDM,Mainline
13.100000,-332.544292,,24.522615,25.000000,-0.000896,-0.000896,0.000016,IDM,Mainline
13.200000,-330.092035,,24.522525,25.000000,-0.000895,-0.000895,0.000015,IDM,Mainline
13.300000,-327.639787,,24.522436,25.000000,-0.000893,-0.000893,0.000014,IDM,Mainline
13.400000,-325.187548,,24.522347,25.000000,-0.000892,-0.000892,0.000014,IDM,Mainline
13.500000,-322.735318,,24.522258,25.000000,-0.000891,-0.000891,0.000013,IDM,Mainline
13.600000,-320.283096,,24.522169,25.000000,-0.000889,-0.000889,0.000013,IDM,Mainline
13.700000,-317.830884,,24.522080,25.000000,-0.000888,-0.000888,0.000013,IDM,Mainline
13.800000,-315.378680,,24.521991,25.000000,-0.000887,-0.000887,0.000012,IDM,Mainline
13.900000,-312.926486,,24.521903,25.000000,-0.000886,-0.000886,0.000012,IDM,Mainline
14.000000,-310.474300,,24.521814,25.000000,-0.000885,-0.000885,0.000012,IDM,Mainline
14.100000,-308.022123,,24.521726,25.000000,-0.000883,-0.000883,0.000011,IDM,Mainline
14.200000,-305.569955,,24.521638,25.000000,-0.000882,-0.000882,0.000011,IDM,Mainline
14.300000,-303.117795,,24.521550,25.000000,-0.000881,-0.000881,0.000011,IDM,Mainline
14.400000,-300.665645,,24.521462,25.000000,-0.000880,-0.000880,0.000010,IDM,Mainline
14.500000,-298.213503,,24.521374,25.000000,-0.000879,-0.000879,0.000010,IDM,Mainline
14.600000,-295.761370,,24.521286,25.000000,-0.000878,-0.000878,0.000010,IDM,Mainline
14.700000,-293.309246,,24.521198,25.000000,-0.000877,-0.000877,0.000010,IDM,Mainline
14.800000,-290.857130,,24.521111,25.000000,-0.000876,-0.000876,0.000010,IDM,Mainline
14.900000,-288.405023,,24.521023,25.000000,-0.000875,-0.000875,0.000010,IDM,Mainline
15.000000,-285.952926,,24.520936,25.000000,-0.000874,-0.000874,0.000009,IDM,Mainline
15.100000,-283.500836,,24.520848,25.000000,-0.000873,-0.000873,0.000009,IDM,Mainline
15.200000,-281.048756,,24.520761,25.000000,-0.000872,-0.000872,0.000009,IDM,Mainline
15.300000,-278.596684,,24.520674,25.000000,-0.000872,-0.000872,0.000009,IDM,Mainline
15.400000,-276.144621,,24.520587,25.000000,-0.000871,-0.000871,0.000009,IDM,Mainline
15.500000,-273.692567,,24.520500,25.000000,-0.000870,-0.000870,0.000009,IDM,Mainline
15.600000,-271.240521,,24.520413,25.000000,-0.000869,-0.000869,0.000009,IDM,Mainline
15.700000,-268.788484,,24.520326,25.000000,-0.000868,-0.000868,0.000009,IDM,Mainline
15.800000,-266.336456,,24.520239,25.000000,-0.000867,-0.000867,0.000009,IDM,Mainline
15.900000,-263.884436,,24.520153,25.000000,-0.000866,-0.000866,0.000008,IDM,Mainline
16.000000,-261.432425,,24.520066,25.000000,-0.000866,-0.000866,0.000008,IDM,Mainline
16.100000,-258.980423,,24.519980,25.000000,-0.000865,-0.000865,0.000008,IDM,Mainline
16.200000,-256.528429,,24.519893,25.000000,-0.000864,-0.000864,0.000008,IDM,Mainline
16.300000,-254.076444,,24.519807,25.000000,-0.000863,-0.000863,0.000008,IDM,Mainline
16.400000,-251.624468,,24.519721,25.000000,-0.000862,-0.000862,0.000008,IDM,Mainline
16.500000,-249.172500,,24.519635,25.000000,-0.000861,-0.000861,0.000008,IDM,Mainline
16.600000,-246.720541,,24.519549,25.000000,-0.000861,-0.000861,0.000008,IDM,Mainline
16.700000,-244.268590,,24.519463,25.000000,-0.000860,-0.000860,0.000008,IDM,Mainline
16.800000,-241.816648,,24.519377,25.000000,-0.000859,-0.000859,0.000008,IDM,Mainline
16.900000,-239.364715,,24.519291,25.000000,-0.000858,-0.000858,0.000008,IDM,Mainline
17.000000,-236.912790,,24.519205,25.000000,-0.000857,-0.000857,0.000008,IDM,Mainline
17.100000,-234.460874,,24.519120,25.000000,-0.000857,-0.000857,0.000008,IDM,Mainline
17.200000,-232.008966,,24.519034,25.000000,-0.000856,-0.000856,0.000008,IDM,Mainline
17.300000,-229.557067,,24.518948,25.000000,-0.000855,-0.000855,0.000008,IDM,Mainline
17.400000,-227.105177,,24.518863,25.000000,-0.000854,-0.000854,0.000008,IDM,Mainline
17.500000,-224.653295,,24.518778,25.000000,-0.000853,-0.000853,0.000008,IDM,Mainline
