Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input_Acceleration,Jerk,Controller,Lane ID
0,0.2,,20,20,0,0,0,,On-ramp
0.01,0.4,,20,20,0,0,0,,On-ramp
0.02,0.6,,20,20,0,0,0,,On-ramp
0.03,0.8,,20,20,0,0,0,,On-ramp
0.04,1,,20,20,0,0,0,,On-ramp
0.05,1.2,,20,20,0,0,0,,On-ramp
0.06,1.4,,20,20,0,0,0,,On-ramp
0.07,1.6,,20,20,0,0,0,,On-ramp
0.08,1.8,,20,20,0,0,0,,On-ramp
0.09,2,,20,20,0,0,0,,On-ramp
0.1,2.2,,20,20,0,0,0,,On-ramp
0.11,2.4,,20,20,0,0,0,,On-ramp
0.12,2.6,,20,20,0,0,0,,On-ramp
0.13,2.8,,20,20,0,0,0,,On-ramp
0.14,3,,20,20,0,0,0,,On-ramp
0.15,3.2,,20,20,0,0,0,,On-ramp
0.16,3.4,,20,20,0,0,0,,On-ramp
0.17,3.6,,20,20,0,0,0,,On-ramp
0.18,3.8,,20,20,0,0,0,,On-ramp
0.19,4,,20,20,0,0,0,,On-ramp
0.2,4.2,,20,20,0,0,0,,On-ramp
0.21,4.4,,20,20,0,0,0,,On-ramp
0.22,4.6,,20,20,0,0,0,,On-ramp
0.23,4.8,,20,20,0,0,0,,On-ramp
0.24,5,,20,20,0,0,0,,On-ramp
0.25,5.2,,20,20,0,0,0,,On-ramp
0.26,5.4,,20,20,0,0,0,,On-ramp
0.27,5.6,,20,20,0,0,0,,On-ramp
0.28,5.8,,20,20,0,0,0,,On-ramp
0.29,6,,20,20,0,0,0,,On-ramp
0.3,6.2,,20,20,0,0,0,,On-ramp
0.31,6.4,,20,20,0,0,0,,On-ramp
0.32,6.6,,20,20,0,0,0,,On-ramp
0.33,6.8,,20,20,0,0,0,,On-ramp
0.34,7,,20,20,0,0,0,,On-ramp
0.35,7.2,,20,20,0,0,0,,On-ramp
0.36,7.4,,20,20,0,0,0,,On-ramp
0.37,7.6,,20,20,0,0,0,,On-ramp
0.38,7.8,,20,20,0,0,0,,On-ramp
0.39,8,,20,20,0,0,0,,On-ramp
0.4,8.2,,20,20,0,0,0,,On-ramp
0.41,8.4,,20,20,0,0,0,,On-ramp
0.42,8.6,,20,20,0,0,0,,On-ramp
0.43,8.8,,20,20,0,0,0,,On-ramp
0.44,9,,20,20,0,0,0,,On-ramp
0.45,9.2,,20,20,0,0,0,,On-ramp
0.46,9.4,,20,20,0,0,0,,On-ramp
0.47,9.6,,20,20,0,0,0,,On-ramp
0.48,9.8,,20,20,0,0,0,,On-ramp
0.49,10,,20,20,0,0,0,,On-ramp
0.5,10.2,,20,20,0,0,0,,On-ramp
0.51,10.4,,20,20,0,0,0,,On-ramp
0.52,10.6,,20,20,0,0,0,,On-ramp
0.53,10.8,,20,20,0,0,0,,On-ramp
0.54,11,,20,20,0,0,0,,On-ramp
0.55,11.2,,20,20,0,0,0,,On-ramp
0.56,11.4,,20,20,0,0,0,,On-ramp
0.57,11.6,,20,20,0,0,0,,On-ramp
0.58,11.8,,20,20,0,0,0,,On-ramp
0.59,12,,20,20,0,0,0,,On-ramp
0.6,12.2,,20,20,0,0,0,,On-ramp
0.61,12.4,,20,20,0,0,0,,On-ramp
0.62,12.6,,20,20,0,0,0,,On-ramp
0.63,12.8,,20,20,0,0,0,,On-ramp
0.64,13,,20,20,0,0,0,,On-ramp
0.65,13.2,,20,20,0,0,0,,On-ramp
0.66,13.4,,20,20,0,0,0,,On-ramp
0.67,13.6,,20,20,0,0,0,,On-ramp
0.68,13.8,,20,20,0,0,0,,On-ramp
0.69,14,,20,20,0,0,0,,On-ramp
0.7,14.2,,20,20,0,0,0,,On-ramp
0.71,14.4,,20,20,0,0,0,,On-ramp
0.72,14.6,,20,20,0,0,0,,On-ramp
0.73,14.8,,20,20,0,0,0,,On-ramp
0.74,15,,20,20,0,0,0,,On-ramp
0.75,15.2,,20,20,0,0,0,,On-ramp
0.76,15.4,,20,20,0,0,0,,On-ramp
0.77,15.6,,20,20,0,0,0,,On-ramp
0.78,15.8,,20,20,0,0,0,,On-ramp
0.79,16,,20,20,0,0,0,,On-ramp
0.8,16.2,,20,20,0,0,0,,On-ramp
0.81,16.4,,20,20,0,0,0,,On-ramp
0.82,16.6,,20,20,0,0,0,,On-ramp
0.83,16.8,,20,20,0,0,0,,On-ramp
0.84,17,,20,20,0,0,0,,On-ramp
0.85,17.2,,20,20,0,0,0,,On-ramp
0.86,17.4,,20,20,0,0,0,,On-ramp
0.87,17.6,,20,20,0,0,0,,On-ramp
0.88,17.8,,20,20,0,0,0,,On-ramp
0.89,18,,20,20,0,0,0,,On-ramp
0.9,18.2,,20,20,0,0,0,,On-ramp
0.91,18.4,,20,20,0,0,0,,On-ramp
0.92,18.6,,20,20,0,0,0,,On-ramp
0.93,18.8,,20,20,0,0,0,,On-ramp
0.94,19,,20,20,0,0,0,,On-ramp
0.95,19.2,,20,20,0,0,0,,On-ramp
0.96,19.4,,20,20,0,0,0,,On-ramp
0.97,19.6,,20,20,0,0,0,,On-ramp
0.98,19.8,,20,20,0,0,0,,On-ramp
0.99,20,,20,20,0,0,0,,On-ramp
1,20.2,,20,20,0,0,0,,On-ramp
1.01,20.4,,20,20,0,0,0,,On-ramp
1.02,20.6,,20,20,0,0,0,,On-ramp
1.03,20.8,,20,20,0,0,0,,On-ramp
1.04,21,,20,20,0,0,0,,On-ramp
1.05,21.2,,20,20,0,0,0,,On-ramp
1.06,21.4,,20,20,0,0,0,,On-ramp
1.07,21.6,,20,20,0,0,0,,On-ramp
1.08,21.8,,20,20,0,0,0,,On-ramp
1.09,22,,20,20,0,0,0,,On-ramp
1.1,22.2,,20,20,0,0,0,,On-ramp
1.11,22.4,,20,20,0,0,0,,On-ramp
1.12,22.6,,20,20,0,0,0,,On-ramp
1.13,22.8,,20,20,0,0,0,,On-ramp
1.14,23,,20,20,0,0,0,,On-ramp
1.15,23.2,,20,20,0,0,0,,On-ramp
1.16,23.4,,20,20,0,0,0,,On-ramp
1.17,23.6,,20,20,0,0,0,,On-ramp
1.18,23.8,,20,20,0,0,0,,On-ramp
1.19,24,,20,20,0,0,0,,On-ramp
1.2,24.2,,20,20,0,0,0,,On-ramp
1.21,24.4,,20,20,0,0,0,,On-ramp
1.22,24.6,,20,20,0,0,0,,On-ramp
1.23,24.8,,20,20,0,0,0,,On-ramp
