Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input_Acceleration,Jerk,Controller,Lane ID
0,94.1202,,20,20,0,0,0,,Mainline
0.01,94.3202,,20,20,0,0,0,,Mainline
0.02,94.5202,,20,20,0,0,0,,Mainline
0.03,94.7202,,20,20,0,0,0,,Mainline
0.04,94.9202,,20,20,0,0,0,,Mainline
0.05,95.1202,,20,20,0,0,0,,Mainline
0.06,95.3202,,20,20,0,0,0,,Mainline
0.07,95.5202,,20,20,0,0,0,,Mainline
0.08,95.7202,,20,20,0,0,0,,Mainline
0.09,95.9202,,20,20,0,0,0,,Mainline
0.1,96.1202,,20,20,0,0,0,,Mainline
0.11,96.3202,,20,20,0,0,0,,Mainline
0.12,96.5202,,20,20,0,0,0,,Mainline
0.13,96.7202,,20,20,0,0,0,,Mainline
0.14,96.9202,,20,20,0,0,0,,Mainline
0.15,97.1202,,20,20,0,0,0,,Mainline
0.16,97.3202,,20,20,0,0,0,,Mainline
0.17,97.5202,,20,20,0,0,0,,Mainline
0.18,97.7202,,20,20,0,0,0,,Mainline
0.19,97.9202,,20,20,0,0,0,,Mainline
0.2,98.1202,,20,20,0,0,0,,Mainline
0.21,98.3202,,20,20,0,0,0,,Mainline
0.22,98.5202,,20,20,0,0,0,,Mainline
0.23,98.7202,,20,20,0,0,0,,Mainline
0.24,98.9202,,20,20,0,0,0,,Mainline
0.25,99.1202,,20,20,0,0,0,,Mainline
0.26,99.3202,,20,20,0,0,0,,Mainline
0.27,99.5202,,20,20,0,0,0,,Mainline
0.28,99.7202,,20,20,0,0,0,,Mainline
0.29,99.9202,,20,20,0,0,0,,Mainline
0.3,100.12,,20,20,0,0,0,,Mainline
0.31,100.32,,20,20,0,0,0,,Mainline
0.32,100.52,,20,20,0,0,0,,Mainline
0.33,100.72,,20,20,0,0,0,,Mainline
0.34,100.92,,20,20,0,0,0,,Mainline
0.35,101.12,,20,20,0,0,0,,Mainline
0.36,101.32,,20,20,0,0,0,,Mainline
0.37,101.52,,20,20,0,0,0,,Mainline
0.38,101.72,,20,20,0,0,0,,Mainline
0.39,101.92,,20,20,0,0,0,,Mainline
0.4,102.12,,20,20,0,0,0,,Mainline
0.41,102.32,,20,20,0,0,0,,Mainline
0.42,102.52,,20,20,0,0,0,,Mainline
0.43,102.72,,20,20,0,0,0,,Mainline
0.44,102.92,,20,20,0,0,0,,Mainline
0.45,103.12,,20,20,0,0,0,,Mainline
0.46,103.32,,20,20,0,0,0,,Mainline
0.47,103.52,,20,20,0,0,0,,Mainline
0.48,103.72,,20,20,0,0,0,,Mainline
0.49,103.92,,20,20,0,0,0,,Mainline
0.5,104.12,,20,20,0,0,0,,Mainline
0.51,104.32,,20,20,0,0,0,,Mainline
0.52,104.52,,20,20,0,0,0,,Mainline
0.53,104.72,,20,20,0,0,0,,Mainline
0.54,104.92,,20,20,0,0,0,,Mainline
0.55,105.12,,20,20,0,0,0,,Mainline
0.56,105.32,,20,20,0,0,0,,Mainline
0.57,105.52,,20,20,0,0,0,,Mainline
0.58,105.72,,20,20,0,0,0,,Mainline
0.59,105.92,,20,20,0,0,0,,Mainline
0.6,106.12,,20,20,0,0,0,,Mainline
0.61,106.32,,20,20,0,0,0,,Mainline
0.62,106.52,,20,20,0,0,0,,Mainline
0.63,106.72,,20,20,0,0,0,,Mainline
0.64,106.92,,20,20,0,0,0,,Mainline
0.65,107.12,,20,20,0,0,0,,Mainline
0.66,107.32,,20,20,0,0,0,,Mainline
0.67,107.52,,20,20,0,0,0,,Mainline
0.68,107.72,,20,20,0,0,0,,Mainline
0.69,107.92,,20,20,0,0,0,,Mainline
0.7,108.12,,20,20,0,0,0,,Mainline
0.71,108.32,,20,20,0,0,0,,Mainline
0.72,108.52,,20,20,0,0,0,,Mainline
0.73,108.72,,20,20,0,0,0,,Mainline
0.74,108.92,,20,20,0,0,0,,Mainline
0.75,109.12,,20,20,0,0,0,,Mainline
0.76,109.32,,20,20,0,0,0,,Mainline
0.77,109.52,,20,20,0,0,0,,Mainline
0.78,109.72,,20,20,0,0,0,,Mainline
0.79,109.92,,20,20,0,0,0,,Mainline
0.8,110.12,,20,20,0,0,0,,Mainline
0.81,110.32,,20,20,0,0,0,,Mainline
0.82,110.52,,20,20,0,0,0,,Mainline
0.83,110.72,,20,20,0,0,0,,Mainline
0.84,110.92,,20,20,0,0,0,,Mainline
0.85,111.12,,20,20,0,0,0,,Mainline
0.86,111.32,,20,20,0,0,0,,Mainline
0.87,111.52,,20,20,0,0,0,,Mainline
0.88,111.72,,20,20,0,0,0,,Mainline
0.89,111.92,,20,20,0,0,0,,Mainline
0.9,112.12,,20,20,0,0,0,,Mainline
0.91,112.32,,20,20,0,0,0,,Mainline
0.92,112.52,,20,20,0,0,0,,Mainline
0.93,112.72,,20,20,0,0,0,,Mainline
0.94,112.92,,20,20,0,0,0,,Mainline
0.95,113.12,,20,20,0,0,0,,Mainline
0.96,113.32,,20,20,0,0,0,,Mainline
0.97,113.52,,20,20,0,0,0,,Mainline
0.98,113.72,,20,20,0,0,0,,Mainline
0.99,113.92,,20,20,0,0,0,,Mainline
1,114.12,,20,20,0,0,0,,Mainline
1.01,114.32,,20,20,0,0,0,,Mainline
1.02,114.52,,20,20,0,0,0,,Mainline
1.03,114.72,,20,20,0,0,0,,Mainline
1.04,114.92,,20,20,0,0,0,,Mainline
1.05,115.12,,20,20,0,0,0,,Mainline
1.06,115.32,,20,20,0,0,0,,Mainline
1.07,115.52,,20,20,0,0,0,,Mainline
1.08,115.72,,20,20,0,0,0,,Mainline
1.09,115.92,,20,20,0,0,0,,Mainline
