Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-1076.785812,,24.974139,25.000000,-0.258607,-0.258607,-2.586070,IDM,Mainline
0.100000,-1074.289641,,24.949282,25.000000,-0.248573,-0.248573,0.100343,IDM,Mainline
0.200000,-1071.795907,,24.925386,25.000000,-0.238960,-0.238960,0.096125,IDM,Mainline
0.300000,-1069.304517,,24.902411,25.000000,-0.229749,-0.229749,0.092110,IDM,Mainline
0.400000,-1066.815381,,24.880319,25.000000,-0.220920,-0.220920,0.088288,IDM,Mainline
0.500000,-1064.328411,,24.859073,25.000000,-0.212456,-0.212456,0.084646,IDM,Mainline
0.600000,-1061.843526,,24.838640,25.000000,-0.204338,-0.204338,0.081176,IDM,Mainline
0.700000,-1059.360644,,24.818985,25.000000,-0.196552,-0.196552,0.077866,IDM,Mainline
0.800000,-1056.879691,,24.800076,25.000000,-0.189081,-0.189081,0.074710,IDM,Mainline
0.900000,-1054.400593,,24.781885,25.000000,-0.181911,-0.181911,0.071697,IDM,Mainline
1.000000,-1051.923280,,24.764382,25.000000,-0.175029,-0.175029,0.068821,IDM,Mainline
1.100000,-1049.447684,,24.747540,25.000000,-0.168421,-0.168421,0.066074,IDM,Mainline
1.200000,-1046.973740,,24.731333,25.000000,-0.162076,-0.162076,0.063450,IDM,Mainline
1.300000,-1044.501387,,24.715735,25.000000,-0.155982,-0.155982,0.060942,IDM,Mainline
1.400000,-1042.030564,,24.700722,25.000000,-0.150128,-0.150128,0.058544,IDM,Mainline
1.500000,-1039.561214,,24.686271,25.000000,-0.144503,-0.144503,0.056250,IDM,Mainline
1.600000,-1037.093283,,24.672362,25.000000,-0.139097,-0.139097,0.054056,IDM,Mainline
1.700000,-1034.626716,,24.658972,25.000000,-0.133902,-0.133902,0.051956,IDM,Mainline
1.800000,-1032.161463,,24.646081,25.000000,-0.128907,-0.128907,0.049946,IDM,Mainline
