Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-589.249605,,24.964070,25.000000,-0.359302,-0.359302,-3.593022,IDM,Mainline
0.100000,-586.754841,,24.931218,25.000000,-0.328519,-0.328519,0.307834,IDM,Mainline
0.200000,-584.263222,,24.901167,25.000000,-0.300513,-0.300513,0.280060,IDM,Mainline
0.300000,-581.774480,,24.873665,25.000000,-0.275012,-0.275012,0.255011,IDM,Mainline
0.400000,-579.288373,,24.848488,25.000000,-0.251773,-0.251773,0.232385,IDM,Mainline
0.500000,-576.804677,,24.825430,25.000000,-0.230581,-0.230581,0.211920,IDM,Mainline
0.600000,-574.323190,,24.804306,25.000000,-0.211243,-0.211243,0.193386,IDM,Mainline
0.700000,-571.843727,,24.784947,25.000000,-0.193585,-0.193585,0.176581,IDM,Mainline
0.800000,-569.366120,,24.767202,25.000000,-0.177452,-0.177452,0.161328,IDM,Mainline
0.900000,-566.890213,,24.750932,25.000000,-0.162705,-0.162705,0.147469,IDM,Mainline
1.000000,-564.415866,,24.736010,25.000000,-0.149218,-0.149218,0.134866,IDM,Mainline
1.100000,-561.942949,,24.722322,25.000000,-0.136879,-0.136879,0.123395,IDM,Mainline
1.200000,-559.471345,,24.709763,25.000000,-0.125584,-0.125584,0.112947,IDM,Mainline
1.300000,-557.000945,,24.698239,25.000000,-0.115242,-0.115242,0.103423,IDM,Mainline
1.400000,-554.531650,,24.687662,25.000000,-0.105768,-0.105768,0.094735,IDM,Mainline
1.500000,-552.063369,,24.677954,25.000000,-0.097088,-0.097088,0.086807,IDM,Mainline
1.600000,-549.596019,,24.669041,25.000000,-0.089131,-0.089131,0.079566,IDM,Mainline
1.700000,-547.129525,,24.660857,25.000000,-0.081836,-0.081836,0.072951,IDM,Mainline
1.800000,-544.663815,,24.653342,25.000000,-0.075146,-0.075146,0.066903,IDM,Mainline
1.900000,-542.198825,,24.646442,25.000000,-0.069008,-0.069008,0.061372,IDM,Mainline
2.000000,-539.734498,,24.640104,25.000000,-0.063377,-0.063377,0.056311,IDM,Mainline
2.100000,-537.270779,,24.634283,25.000000,-0.058209,-0.058209,0.051679,IDM,Mainline
2.200000,-534.807618,,24.628936,25.000000,-0.053466,-0.053466,0.047438,IDM,Mainline
2.300000,-532.344970,,24.624025,25.000000,-0.049110,-0.049110,0.043553,IDM,Mainline
2.400000,-529.882793,,24.619514,25.000000,-0.045111,-0.045111,0.039994,IDM,Mainline
2.500000,-527.421048,,24.615370,25.000000,-0.041438,-0.041438,0.036732,IDM,Mainline
2.600000,-524.959702,,24.611564,25.000000,-0.038064,-0.038064,0.033741,IDM,Mainline
2.700000,-522.498720,,24.608068,25.000000,-0.034964,-0.034964,0.030998,IDM,Mainline
2.800000,-520.038074,,24.604856,25.000000,-0.032116,-0.032116,0.028482,IDM,Mainline
2.900000,-517.577736,,24.601906,25.000000,-0.029498,-0.029498,0.026174,IDM,Mainline
3.000000,-515.117681,,24.599197,25.000000,-0.027092,-0.027092,0.024056,IDM,Mainline
3.100000,-512.657885,,24.596709,25.000000,-0.024881,-0.024881,0.022112,IDM,Mainline
3.200000,-510.198329,,24.594424,25.000000,-0.022849,-0.022849,0.020328,IDM,Mainline
3.300000,-507.738991,,24.592326,25.000000,-0.020980,-0.020980,0.018689,IDM,Mainline
3.400000,-505.279855,,24.590400,25.000000,-0.019261,-0.019261,0.017184,IDM,Mainline
3.500000,-502.820903,,24.588632,25.000000,-0.017681,-0.017681,0.015802,IDM,Mainline
3.600000,-500.362121,,24.587009,25.000000,-0.016228,-0.016228,0.014532,IDM,Mainline
3.700000,-497.903495,,24.585520,25.000000,-0.014891,-0.014891,0.013366,IDM,Mainline
3.800000,-495.445011,,24.584154,25.000000,-0.013662,-0.013662,0.012294,IDM,Mainline
3.900000,-492.986658,,24.582901,25.000000,-0.012531,-0.012531,0.011309,IDM,Mainline
4.000000,-490.528426,,24.581752,25.000000,-0.011491,-0.011491,0.010403,IDM,Mainline
4.100000,-488.070303,,24.580698,25.000000,-0.010534,-0.010534,0.009571,IDM,Mainline
4.200000,-485.612282,,24.579733,25.000000,-0.009653,-0.009653,0.008806,IDM,Mainline
4.300000,-483.154352,,24.578849,25.000000,-0.008843,-0.008843,0.008102,IDM,Mainline
4.400000,-480.696508,,24.578039,25.000000,-0.008097,-0.008097,0.007455,IDM,Mainline
4.500000,-478.238741,,24.577298,25.000000,-0.007411,-0.007411,0.006861,IDM,Mainline
4.600000,-475.781045,,24.576620,25.000000,-0.006780,-0.006780,0.006313,IDM,Mainline
4.700000,-473.323414,,24.576000,25.000000,-0.006199,-0.006199,0.005810,IDM,Mainline
4.800000,-470.865843,,24.575434,25.000000,-0.005664,-0.005664,0.005347,IDM,Mainline
4.900000,-468.408325,,24.574916,25.000000,-0.005172,-0.005172,0.004922,IDM,Mainline
5.000000,-465.950857,,24.574445,25.000000,-0.004719,-0.004719,0.004530,IDM,Mainline
5.100000,-463.493434,,24.574014,25.000000,-0.004302,-0.004302,0.004170,IDM,Mainline
5.200000,-461.036052,,24.573623,25.000000,-0.003918,-0.003918,0.003838,IDM,Mainline
5.300000,-458.578708,,24.573266,25.000000,-0.003565,-0.003565,0.003533,IDM,Mainline
5.400000,-456.121397,,24.572942,25.000000,-0.003240,-0.003240,0.003252,IDM,Mainline
5.500000,-453.664118,,24.572648,25.000000,-0.002940,-0.002940,0.002994,IDM,Mainline
5.600000,-451.206866,,24.572382,25.000000,-0.002665,-0.002665,0.002756,IDM,Mainline
5.700000,-448.749640,,24.572140,25.000000,-0.002411,-0.002411,0.002537,IDM,Mainline
5.800000,-446.292437,,24.571923,25.000000,-0.002178,-0.002178,0.002335,IDM,Mainline
5.900000,-443.835255,,24.571726,25.000000,-0.001963,-0.001963,0.002150,IDM,Mainline
6.000000,-441.378091,,24.571550,25.000000,-0.001765,-0.001765,0.001979,IDM,Mainline
6.100000,-438.920944,,24.571392,25.000000,-0.001583,-0.001583,0.001822,IDM,Mainline
6.200000,-436.463812,,24.571250,25.000000,-0.001415,-0.001415,0.001677,IDM,Mainline
6.300000,-434.006693,,24.571124,25.000000,-0.001260,-0.001260,0.001544,IDM,Mainline
6.400000,-431.549586,,24.571012,25.000000,-0.001118,-0.001118,0.001421,IDM,Mainline
6.500000,-429.092490,,24.570914,25.000000,-0.000988,-0.000988,0.001308,IDM,Mainline
6.600000,-426.635403,,24.570827,25.000000,-0.000867,-0.000867,0.001204,IDM,Mainline
6.700000,-424.178324,,24.570751,25.000000,-0.000756,-0.000756,0.001108,IDM,Mainline
6.800000,-421.721252,,24.570686,25.000000,-0.000654,-0.000654,0.001020,IDM,Mainline
6.900000,-419.264186,,24.570630,25.000000,-0.000560,-0.000560,0.000939,IDM,Mainline
7.000000,-416.807126,,24.570582,25.000000,-0.000474,-0.000474,0.000864,IDM,Mainline
