Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,440.510029,,19.864557,20.000000,-1.354432,-1.354432,-13.544315,IDM,Mainline
0.100000,442.490647,,19.747818,20.000000,-1.167384,-1.167384,1.870475,IDM,Mainline
0.200000,444.460384,,19.646915,20.000000,-1.009030,-1.009030,1.583537,IDM,Mainline
0.300000,446.420705,,19.559499,20.000000,-0.874167,-0.874167,1.348636,IDM,Mainline
0.400000,448.372861,,19.483627,20.000000,-0.758722,-0.758722,1.154450,IDM,Mainline
0.500000,450.317926,,19.417680,20.000000,-0.659466,-0.659466,0.992560,IDM,Mainline
0.600000,452.256825,,19.360299,20.000000,-0.573806,-0.573806,0.856597,IDM,Mainline
0.700000,454.190357,,19.310336,20.000000,-0.499638,-0.499638,0.741675,IDM,Mainline
0.800000,456.119215,,19.266812,20.000000,-0.435240,-0.435240,0.643989,IDM,Mainline
0.900000,458.044000,,19.228893,20.000000,-0.379185,-0.379185,0.560545,IDM,Mainline
1.000000,459.965238,,19.195864,20.000000,-0.330290,-0.330290,0.488955,IDM,Mainline
1.100000,461.883386,,19.167108,20.000000,-0.287559,-0.287559,0.427302,IDM,Mainline
1.200000,463.798846,,19.142093,20.000000,-0.250157,-0.250157,0.374027,IDM,Mainline
1.300000,465.711969,,19.120355,20.000000,-0.217371,-0.217371,0.327855,IDM,Mainline
1.400000,467.623061,,19.101496,20.000000,-0.188598,-0.188598,0.287735,IDM,Mainline
1.500000,469.532394,,19.085164,20.000000,-0.163319,-0.163319,0.252791,IDM,Mainline
1.600000,471.440205,,19.071055,20.000000,-0.141089,-0.141089,0.222294,IDM,Mainline
1.700000,473.346703,,19.058902,20.000000,-0.121526,-0.121526,0.195629,IDM,Mainline
1.800000,475.252072,,19.048472,20.000000,-0.104298,-0.104298,0.172278,IDM,Mainline
1.900000,477.156473,,19.039561,20.000000,-0.089118,-0.089118,0.151800,IDM,Mainline
2.000000,479.060051,,19.031987,20.000000,-0.075737,-0.075737,0.133818,IDM,Mainline
2.100000,480.962930,,19.025593,20.000000,-0.063936,-0.063936,0.118010,IDM,Mainline
2.200000,482.865221,,19.020241,20.000000,-0.053526,-0.053526,0.104101,IDM,Mainline
2.300000,484.767024,,19.015807,20.000000,-0.044341,-0.044341,0.091850,IDM,Mainline
2.400000,486.668423,,19.012183,20.000000,-0.036235,-0.036235,0.081052,IDM,Mainline
